Serial_ID,Brand_Info,Ingredients_List
001,Meril,"মূল উপাদান সোডিয়াম সোেপ , অ্যাকোয়া, গ্লিসারিন , টাইটেনিয়াম ডাইঅক্সাইড, ইডিটিএ , পারফিউম , সি আই ১৯৬৮০ , সি আই ৪৫১০০ , বেলী এক্সট্রাক, মিল্ক এক্সট্রাকট"
002,ANTISEPTIC SOAP,"উপাদানসমৃহ সোডিয়াম পামেট , সোডিয়াম পাম কারনিলেট, অ্যাকুয়া , ট্যাল্ক , পারফিউম , কিমবাজল গ্রিসারিন, অ্যালোভেরা একট্রাক্"
003,9 4,"মূল উপাপানসমূহঃ সোডিয়াম সোেপ অ্যাকুয়া পলিওলস পারফিউম, টাইটেনিয়াম ডাইতাকসাইড টেট্রাসোডিয়াম ইটিড্রোনেট টেট্রাসোডিয়াম ইডিটিএ, সেবিসিন এবং বোঙ্া গ্যাপিকা ফ্রাওয়ার একসট্যাষ্ট টোকোফেরাইল জ্যাসিটেট সৌডিয়াম অ্যাসকরবিল ফসফেট হাইড্রোস্সিস্টিযারিক অ্যাসিড সিতাই ১২৪৯০"
004,Saylon,"টয়লেট সোেপ, গ্রেড-১, টি এফ এম 9৬% নিট ওজন ৭৫ গ্রাম (প্যাকেজিং এর সময়) উপাদানসমূহ সোেপ নুডলস, টাইটেনিয়াম ডাই অক্স্াইড, ময়েশ্চারাইজার, ক্লোরোফেনসিন পারফিউম, এসএলএস, এন্টি অব্সিজে্ট টিনাপল সিবিএসএক্স"
005,এসিআই নির্ম,"উপাদানসমূহ সগনড্স, 97 গল স টা্টনিয়র ডাতকই্ড প্রিভারসেটভ নিম একট্যোক্ট সমৃদ্পরফিউন , কালাবঃসিতাইন ১৯৬৮০ চিতই ন ে৪২৬০"
006,Dettol,"উপাদানসমূহ সোডিয়াম সোেপ, ট্যালক পাইন অয়েল, পিসিএমএক্স, রং এবং অন্যান্যা"
007,Sanbalina,"মৃূপ উপাদানঃ সোডিয়াম সোপ, স্যান্ডাল উড অয়েল, রোজ এক্সট্যাষ্ট, সুইট অ্যালমন্ড অয়েল গ্রিসারিন, টাইটেনিয়াম ডাই-অকসাইড এট্টি অক্সিডেন্ট সিআই-১১৬৮০ সিতাই-১২০৮৫, সিতাই-৭৪১৬০, পারফিউম ও এ্যাকোয়া"
008,Meril,"মূল উপাদান সোডিয়াম সোপ ( অ্যাকোয়া গরিসারিন , টাইটেনিয়াম পারফিউম , সি আই ১৯৬৮০ , সি আই ৪৫১০০ , নেলী একট্রাব্য় , ম মসল্কই এক্সাইব , ইডিটিএ এক্সটাক"
009,CLEAR,সণকোর) পণি সশে সণক্টে ফেবিতেশশল মুকনন ৩4 149 তোড়েমাল কেনয়িনশমযোনেত 4 পুেদি সিধি শসিন বসিন ৫ডে দেচি ucumeR ৫টের fr9i
010,,"ভপাদানসসৃত পানি সেটেবাইল আ্লকোহল ডাইয়োথিকেো 9 আ্সোডিযেিকোন এবং পিইজি ৭ প্রোপাইলহেপটাইল ইপার 9dt খিসাঠি সে্ট্রিমোলিযম খোরাইড, বেহেনদ্রাইমোনিয়াম ফোরাইড সোডিয়াম সালফ্টে খুতোোনোল্যাৎটোন ত্রেঞেলোজ হেলিয়ানথাস আনাস (সানক্াওযব) সিড লাকটিক দোরাইড ডাইসোডিয়াম ২ডিটিএ প্রিজারভোটিভ"
011,(LEAR,"উপদণসমৃত পানি সোডিয়াম পরেধ সালফেট, কোকানিডোশরোপাহ বিটেইন, ডাইয়েধিকোন এক বেচিনপালফোনোট পলিকোয়াটারনিযাম-৬ পাথবকটোন গপামিন বেলিয়াহাস পানাশ সীড ৩ফণে, থ্লাইসিন) নিয়াসিনামাইড 4"
012,Mrucy0 naturale,"4 9 ডপাদান পে৫ দাস%েে 9 44 199 0%0 (9 4 ০ি ৫োট , ৩লে ৭াণাতেরপিশ 7শ ডটি4 ধোকমবডোোপাধল 71 4 91 9 4সিত বিধারদগাইসোধায়াপোপিলন ১৯১০০ সিতাত ে২০১০"
013,Affiliated with REMARKLLCUSA Lilv,"মূল উপাদানসমুহ সোডিয়াম সল্ট অফ পালমেটিক অ্যাসিড টাইটানিয়াম ডাই তকসাইড সোডিয়াম লবিল সালফেট পারফিউম টোকোফেবিল, জেসমিন একসট্যাক্ট, কালাবেন্ট স্কিন ময্চোবাইজাব কমপ্েক অ্যালোভেবা একসট্যাক্ট বুটিবোস্সারমাম পারকি (শিয়ো বাটাব) এবং গরিসাবিন"
014,REVIVE,4 Vedl Ingredients MineralOil Cctyl Alcohol Dimethiconc and Cyclopentasiloxanc Vitamin-E Acetate Glycerine Hydroxycthyl cellulose Caroopoly Allantoin Vitamin 83 DMDMH Perfume Aqua
015,Skinshine Cream,Composition Hydroquinone Tretinoin Mometasone Furoate
016,%8 01 1 3 BLAICI SoAP ORIGIIAL,IarreilHia Cruuulieo Aguaitkie uuaan ygroxide FjagraiE TuyI Buitaaillgdviisunu NEEginmiun (11k985
017,Qxigiiall ঢ0,"ডপাদান ঃ ঢিঢানিযাম-ডাই-এক্সাইড বোরাক্স ডিস্টিল ওয়াটার গ্রিসারিন মিথাইল প্যারাবি, প্রোপ্রাইল প্যারাবিন ভ্যাসলিন, হার্ড প্যারাবিন সুগন্ধি, সিটাইল, স্টিয়ারিক এসিড ভিটামিন-ই আইসোপ্রোপাইল মাইরিস্টেট"
018,%7 ১৩ণা স্পট আউট স্কিন ক্রীম,"উপাদান আযয় বিয়ারিক আযসিড গ্িসারিন বেব্ক ঢছে ডাই অক্সাইড জিরতযরাইত বিটইন আ্নকোহল, জাইলো প্রোপচল মইবিস্টেট পটশিয়ান খণড্রইড, মিথাইল পারাবনে পোোপান প্যাবারে ডাই সো্িম হদিটএ, পারাফ্ড্য প্রোডি্টামিন সি, পেরড্টাম়িন-ই া"
019,তা 2 র বা ল একটিভ,"Ingrodionts Aqua Honey Neem Oil Almond Colploa 3learic Acid LxPiPG GIycerol Mono SleArnto Glyoerino Vtamin-83, Vitamin-E, Cetyl Atconol Purtulmio"
020,LATAHERBAL 8 KI N fIfIBHT BRERM,"উপাদান এ্যাোকোযা স্টিয়ারিক এসিড এসেনসিয়্যাল ৪য়েল বনিনারেল ওরেল , গ্রিসারিন , সিটাইল এ্যালকোল মিথাইল প্যারাফিন সোডিয়াম ভিটামিন-ই ভিটামিন-বিও প্রোপাইলিন গাইকন এ্যালোভেরা , পারফিউম এবং সন্যান্য ডেষজ সহযোগী উপাদাম"
021,114 lovelyy,"মুহু পানি, সোডিয়াম লর্বেয় সলভেট, ঝযাক্রিলেটস কোপলিমার, (উপাদান) প্রোপাইল বিটেহন প্লিসরিন (সহড 309, সোডিয়াম শোকামাং জারভেটিভ, সুপন্ধি পলিসরব্টে ২০ সৌডিয়াম হইডোবইড শেবাইড চু বিএইচটি ডাহসোডিয়ম় সদট , মেখল প্রোপইলি মিয়াসিনাঃ ৈিজোফেনন-৪ ঢোলেষরিল ল্যসিটেট সোডিযাম গু্কেন পশববয ৎসফেট"
022,PONDS S K N N s T T U T E,"উপদনসমৃহঃযাইবিস্টিক এসিড গ্রিসারিন পানি প্রপিলিন মাইবল, পটাসিয়াম হাইডোকাইড, স্টিয়ারিক এসিড লরিক এসিড গাইবল ডাইস্টিয়ািরেট ডিসাইল গূকোসাইড পলঘিচিব এসিড হাইডবিস্টিয়ারিক এসিড প্রিসাবেন টিঘাবেটে প্রিদারভেটত মেনবল, ডাইলোডিয়াম ইডিঢিও পরবোয়টাবনিয়াম-৭ নাম্াসিনামাইড সোডিয়াম বেনজরেট কোচাইল জ্যানশেহ বোদাইল স্যালিপাইলেট দিদোকোেন, হেক্সিল সিনাযাল, পিবোনিণি নিনলল"
023,Glow Honcsoric U0,উদাদনসম কনাইবিস্টিক এসিড গিসারিন পানি প্রোপাইলিন মাইকল ঢদিয়াম হাইড়োতাইড পালমিটিক এসিড এবং স্টিয়ারিক এসিড ম৫চ এসিডঃ গাটকল ডাইস্টিয়ারেট ডেসাইল মুকোসাইড মিসাবিন পলিোয়াটানিযাম ৭ প্রিজাবডোটিত নিয়সিনামাইড তাগোফেবিলআপিটেট সোডিয়াম আ্সকরবাইল ফসফেট হাইডেটড ডাইসোডিয়াম ডিটিও দেখল পারফিউা মেঙাইলস্যালিপাইলেট লিমোনিন লিনালল পেকাইলসিনামাল
024,P ি9,"উপাদানঃ ঠিয়ারিক এসিড সিটাইল এনকোহ্ল বোরাস পচাবিসাম বাই-কার্রবোলেট মিপাইল প্ারাবেন ০িসারিন ইটএসপি, এ্যাকোয়া পারষিউম"
025,লেভা,"অ্যাকুয়া বোরাক্স এমপি এস পিপি এস , টিটানিয়াম ডাই অক্সাইড জিংএম এস , স্টিয়ারিক এসিড বিজওয়াক্স, সিটাইল, গ্রিসারিন, ডিটামিন বি-৩ প্যারাবিন সুগন্ধি"
026,GARNIeR,"936307 66 - INCREDIENTS WATER PALMITICACIU STEARICACIU NIACINAMIUE GLYCERIN, CI 77891 TITANIUM DIOXIDE TITANIUMDIOXIDE PUTASSIUMHYURUXIDE LINALOUL GERANIOL UIMETHICONE BEHENYLALCOHUL, FPAGRANCE METHYLPARABEN) MYRISTICACIU ALUMINUMHYUROXIDE PHENOXYETHANUL, OCTUCRYLENE, rOCOPHERYL ACETATE ASCURBYL GLUCUSDE UMONENE ISUPROPYL MYRISTATE TETRASUUIUMEDTA CITRONELLUL) HYOROYYCITRONELLAL CITRUS JUNOSFRUITEXTRACT MALTUUEXTRIN BUTYL METHOXYUIBENZUYLMETHANE, ETHYLPAPABEN)HDXYLCINNAMAL BBLILSALCYLIE BENYLALCUHUL (FIIL C2561461)"
